,cvar_05,expected_wealth,median_wealth,portfolio
0,-325.26341987729825,885.7020923209269,652.7542771298704,2_factor_unconstrain
0,-375.85021235410403,806.8030976991514,590.5096833413396,2basic_NN
0,-395.2724688746242,550.8097796014655,376.5715594428238,3basic_NN
0,-301.59287550049254,949.9717120279637,709.5227420395738,3_factor_unconstrain
0,-295.5643377607271,5354.986675536277,3311.3440043263445,5_factor_constrain_indiv
0,-354.8956793322215,946.602944399095,688.975868829786,2_factor_constrain_indiv
0,-295.5643377607271,5354.986675536277,3311.3440043263445,5_factor_unconstrain
0,-300.4117296963052,1080.663625928201,808.5408506516229,4_factor_unconstrain
0,-295.5643377607271,5354.986675536277,3311.3440043263445,5_factor_constrain_group
0,-354.8956793322215,946.602944399095,688.975868829786,2_factor_constrain_group
